作者banbee100 (BB)看板Stock標題[新聞] 2022台灣人均GDP 首度超車南韓時間Mon Jan 30 17:25:27 2023
推 qwe78971    : 扣掉房地產至少落後30% 01/30 17:26
→ cerwvk      : 不負責任的感覺, 現在畢業生比起5年前, 更想出國?? 01/30 19:56

→ k798976869  : 你什麼爛產業都想做就會都做不起來 汽車生技啥的 01/30 19:57

→ borriss     :  會比那時消費的人還少嗎 01/30 19:57

→ adagiox     : 國外如果薪資環境好 他們有能力能在國外就職有什麼 01/30 19:57

→ adagiox     : 不對？ 01/30 19:57

→ adagiox     : 莫名其妙硬要拉本勞薪資 01/30 19:57

→ cerwvk      : 人家都在外國了,  台灣跟他無關了. 01/30 19:57

推 Uncontinue  : 所以你的意思是那些能在國外拿OFFER的在國內沒位子? 01/30 19:57

推 bj45566     : 時尚精品文創影視怎麼說都還是歐洲美國的看家財，台 01/30 19:58

→ bj45566     : 灣就算多用十分力想賺這方面的錢也是難矣哉，不要 01/30 19:58

→ bj45566     : 罔顧事實只會發夢 01/30 19:58

推 thbygn98    : 全民玩股才正常，你不買股怎麼把自己的勞動成果拿 01/30 19:58

→ thbygn98    : 回來 01/30 19:58

→ Merkle      : 還不都是我們大央行金龍總裁的功勞 01/30 19:58

→ cerwvk      : 畢業實習生.  就到外國闖一闖.  可以的話就在外國了 01/30 19:58

→ thbygn98    : 美國401k才是正確的路線 01/30 19:58

推 luten       : 南韓贏台灣才是短期現象好嗎！ 01/30 19:58

→ bj45566     : 真正有能力出國工作的畢業生也不會靠北GDP成長無感 01/30 19:59

→ bj45566     :  +1 01/30 19:59

推 pwseki206   : 台灣媒體很喜歡拿南韓作為救援對象，反過來說南韓 01/30 19:59

→ pwseki206   : 會一直奚落台灣嗎？好奇 01/30 19:59

推 matchkiwi   : 出國工作能直接與人才外流畫上等號？ 01/30 19:59

→ jen1121     : 房地產拉多少 01/30 19:59

→ cerwvk      : 全民玩股  是沒辦法中的辦法.  不是正常的. 01/30 19:59

→ tmot        : 冠老闆還是不加薪 01/30 19:59

→ cerwvk      : 人家在外國了, 台灣GDP關他屁事. 01/30 20:00

推 frozenmoon  : 文組類要在美國找幫辦簽證的長期工作聽說很困難 01/30 20:00

→ bj45566     : 要說影視文創，新加坡一直都最爛最慘，人家也不在乎 01/30 20:00

→ bj45566     : 那個 01/30 20:00

→ cerwvk      : 只是覺得比5年前的實習生,現在的更有意願出國闖一闖 01/30 20:00

→ borriss     :  蘇媽跟老黃倒是跟台灣GDP正相關(O 01/30 20:01

→ Uncontinue  : 有能力出國的一直以來都不關他的事啊... 01/30 20:01

推 pwseki206   : 新加坡近幾年也有嘗試拼文創啦，例如新謠。只是成 01/30 20:02

→ pwseki206   : 效沒很理想也是事實 01/30 20:02

推 springman   : 首度是什麼意思呢？早年台灣應該是領先的。 01/30 20:03

→ k798976869  : 新加坡是靠金融業 取代香港爽賺 01/30 20:03

推 loungelover : 會去吹韓國文創影視的大部分不就不懂經濟的學生 才 01/30 20:03

→ loungelover : 看到台灣經濟超車韓國時無法接受 01/30 20:03

→ pwseki206   : 不過南韓為何會被我們彎道超車這也很有意思其實， 01/30 20:04

→ pwseki206   : 只靠匯率跟神山應該無法完全解釋 01/30 20:04

推 indium111   : 黃金交叉 01/30 20:04

推 bj45566     : 新加坡的文創環境友善度甚至遠不如泰國，滿滿的伊 01/30 20:05

→ bj45566     : 斯蘭教窒息空氣，能發展出什麼文創倒也奇了 01/30 20:05

→ borriss     :  火車頭改在中國製造的關係啊(X 01/30 20:06

推 HyperPoro   : 韓粉臉很腫  好了拉 滾回角落聽你們的kpop 01/30 20:06

推 springman   : 贏日本的話，或許才真的是首度領先。 01/30 20:06

→ adagiox     : 大型韓企 Hynix中美貿易戰重傷 記憶體現在市況又差 01/30 20:11

→ adagiox     :  台灣被掃到的世芯金麗科都相對小 也都回來了 01/30 20:11

推 foxvera     : 讚讚！一定是我不努力 01/30 20:12

→ adagiox     : 單純就時局變了 畢竟大家都靠外銷終端歐美市場 01/30 20:12

推 HRyan       : 落後崩，領先也崩XD 01/30 20:13

→ adagiox     : GG輪班星人一直缺資本支出一直加一直擴 一來一往就 01/30 20:14

→ adagiox     : 有那個差距了 01/30 20:14

推 HinaGikuYanG: 韓狗就朝鮮地獄，新生代韓狗粉看個劇整天妄想人家浪 01/30 20:15

→ HinaGikuYanG: 漫好棒棒 01/30 20:15

推 thbygn98    : 來股版說全民玩股不正常 笑死，所得分配比比台灣高 01/30 20:15

→ thbygn98    : 的國家一樣玩股好嗎==不玩股的是北韓 01/30 20:15

推 frozenmoon  : 其實很難相信在台灣沒高收入的人，在韓國能夠高收入 01/30 20:15

推 HGT7473     : 地下的還沒加入 01/30 20:16

推 bj45566     : 韓國的半導體產業押太多在記憶體和面板上面，然後又 01/30 20:17

→ bj45566     : 沒像台灣能成功阻止半導體企業到中國大量設廠 01/30 20:17

推 bj45566     : 如果當初台積電到中國大量設廠，台灣會死的很難看， 01/30 20:19

→ bj45566     : 台灣賺到流油的 IC 設計公司群組也生長不起了 01/30 20:19

推 RTAngel     : 這個要推 01/30 20:20

推 kougousei   : 文創根本就超低心血和產業 一個成功賺大錢的人背後 01/30 20:21

推 bj45566     : 美國那幾家 EDA 寡佔公司也不會選擇台灣做為海外最 01/30 20:22

→ bj45566     : 大的碼農中心，都是環環相扣的 01/30 20:22

→ kougousei   : 是數以百計甚至千計的屍體 01/30 20:22

→ kougousei   : 這種產業完全不曉得有什麼好吹的 01/30 20:22

→ kougousei   : 日本動畫夠強吧 前幾年還鬧出付費實習咧 01/30 20:22

→ kougousei   : 要不是有宣傳國家形象的作用完全不支持政府投資這個 01/30 20:23

推 dos01       : 在股版說玩股不正常wwwwwwwwwwwwwwwwwwwwwwwwwwwwww 01/30 20:23

推 koushimei   : 韓國要再超車台灣 除非他在中國市場的手機汽車的市 01/30 20:23

→ koushimei   : 佔能像2010年前一樣動輒20趴以上 01/30 20:23

推 sakula0616  : 中美貿易戰  親中的南韓慘兮兮  這你在這版還不清楚 01/30 20:24

→ sakula0616  : 我就問你是不是大韭菜   可憐 01/30 20:24

→ koushimei   : 不然韓國目前在汽車還有消費性電子跟全球市場在品牌 01/30 20:25

→ koushimei   : 上高度競爭 甚至市佔慢慢被中國品牌吃掉 基本上就是 01/30 20:25

→ koushimei   : 維持穩定 要再超車台灣有點難度 01/30 20:25

→ sakula0616  : 一來一往  台灣超車又有什麼問題? 01/30 20:25

推 yuzukeykusa : 其實早該贏了 沒有某黨一直壓低薪資的話 01/30 20:25

→ Uncontinue  : 不許你這麼說 人家很吹韓國三角型畫得很厲害的 01/30 20:25

推 tsujishiori : 像較於台灣半導體擅長的邏輯元件，南韓擅長的面板 01/30 20:26

→ tsujishiori : 和記憶體門檻低、世代產品生命週期短，價格容易大 01/30 20:26

→ tsujishiori : 起大落。當年南韓靠規模優勢打爆日本和台灣，現在 01/30 20:26

→ tsujishiori : 則是被更擅長規模優勢的中國打爆了 01/30 20:26

推 bj45566     : 文創影視要靠世代累積的文化資本，美國、英國才玩 01/30 20:26

→ bj45566     : 的起這塊，BBC 到了 21 世紀還能大吃福爾摩斯的老 01/30 20:26

→ bj45566     : 本，還分給美國 Dr. House, Elementary,... 這些影 01/30 20:26

→ bj45566     : 集吃湯裏剩肉 01/30 20:26

→ frozenmoon  : 在台灣無法高收入的人，在韓國就有辦法高收入嗎？ 01/30 20:27

推 pwseki206   : 文創某些程度政府也會樂的支持，提供一種高挫折者 01/30 20:27

→ pwseki206   : 宣洩管道的文化維穩某些程度是必要開支 01/30 20:27

→ bj45566     : 更何況英美在流行樂、搖滾樂、Musical 這塊也是吃 01/30 20:28

→ bj45566     : 飽飽 01/30 20:28

→ adagiox     : 其實某種程度上 南韓雖然現在損失但是未來全球潛在 01/30 20:28

→ adagiox     : 競爭對手YMTC直接被美國封死 對韓國未來來說未必不 01/30 20:28

→ adagiox     : 是壞事 只是需要時間韓廠轉移跟等待這個機制發酵 01/30 20:28

→ adagiox     :  但總的來說確實韓國很難回到2010年代 01/30 20:28

→ sakula0616  : T大分析得很好 01/30 20:28

→ adagiox     : 3萬到4萬美金對他們來說可能是個走很久的坎 01/30 20:29

推 koushimei   : 其實韓國本國貨幣的名目GDP比IMF預測的還低10個百 01/30 20:29

→ koushimei   : 分點 可見韓國的問題不單單是韓元貶值 他的出口產業 01/30 20:29

→ koushimei   : 真的有被中國跟台灣打下來的跡象， 01/30 20:29

→ raku        : 韓國的房地產漲得更兇 01/30 20:30

推 bj45566     : 義大利和法國則是吃掉了全世界絕大部分的時尚精品 01/30 20:30

→ bj45566     : 市場 01/30 20:30

→ bj45566     : 這些都是靠幾個世代累積的文化資本優勢 01/30 20:31

推 sunjd1      : 別再自慰了四分之一的台灣人一個月連三萬都沒有 01/30 20:31

推 speedoflight: 馬英九一上任就搞了油電雙漲讓萬物皆漲 連任後又搞 01/30 20:32

→ sakula0616  : 基本薪資都快27K  你怎認為受薪階級沒3萬? 01/30 20:32

→ speedoflight: 了一次 真的沒看過比這更弱智的政策 01/30 20:32

推 dos01       : 說個數據 台灣的基本薪資比中國的平均薪資高 01/30 20:32

→ raku        : 應該就是 三星開始不太猛了 所以韓國GDP就.... 01/30 20:32

→ speedoflight: 還有搞出22K錨定低薪 無薪假 把股市的資金全都趕去 01/30 20:33

推 koushimei   : 反而日本去年的本國貨幣名目GDP跟IMF預測差不多 台 01/30 20:33

→ speedoflight: 房市炒房 把股市的成交量搞得跟一攤死水一樣 各種奇 01/30 20:33

→ goodjop     : 台灣又不是共產國家 你的年薪=你的程度 01/30 20:33

→ koushimei   : 灣則是比IMF預設少了約6趴 所以去年可能台灣還是輸 01/30 20:33

→ koushimei   : 日本一點點 或者平手 01/30 20:33

→ dos01       : 月薪別說三萬 就算只有兩萬你也贏了至少7億中國人 01/30 20:33

→ speedoflight: 葩政策 竟然還有有心人士刻意妄想能幫他洗地 笑死 01/30 20:33

→ raku        : 三星強項,消費性電子(手機,電視機等)和記憶體....消 01/30 20:34

→ raku        : 費性電子被中國各牌打得很慘,手機在中國非常慘... 01/30 20:34

→ borriss     :  日本匯率已經讓很多了 以前民主黨人均美金5萬呢(X 01/30 20:34

→ borriss     :  白癡匯率政策被罵十年而已 01/30 20:34

→ kougousei   : 上面有人在那邊說什麼很多人要出國打工 01/30 20:34

→ kougousei   : 你知道最近連日媒都開始報什麼日本人出國打工嗎XD 01/30 20:35

推 Uncontinue  : 要講馬政府股市 還有證所稅吧 01/30 20:35

→ kougousei   : 你知道韓國出國打工移民的有多少嗎？ 01/30 20:35

→ borriss     :  日本現在匯率吸引不到便利商店員工了(X 01/30 20:35

→ kougousei   : 根本日本韓國都不怎麼了解 才會在那邊大放厥詞 01/30 20:35

推 dos01       : 證所稅真的是最智障的政策 把成交量搞到連現在的 01/30 20:36

→ dos01       : 零頭都沒有 01/30 20:36

噓 antiUSA     : 不就贏個韓國怎麼了？二十年前韓星是跪著上台灣電視 01/30 20:37

→ antiUSA     : 節目撈錢的 01/30 20:37

→ Uncontinue  : 三星手機在中國被本地安卓廠打趴了吧 01/30 20:37

推 speedoflight: 韓國基本工資5萬 也要看有多少人真正領得到啊 上有 01/30 20:37

推 bj45566     : 韓國不只手機在中國市場被本土品牌打爛，家電產品也 01/30 20:37

→ bj45566     : 是被中國本土品牌打爛、取代 01/30 20:37

→ speedoflight: 政策下有對策 一堆公司跟店家用非典型勞動 派遣 變 01/30 20:38

→ speedoflight: 形工時就能規避掉的東西 根本看得到吃不到 01/30 20:38

→ Uncontinue  : 他們家電技術水準不難複製 就上面都講完了 01/30 20:38

推 dos01       : 這又是啥平行世界 20年前肥勇俊全世界都超紅的了好 01/30 20:39

→ dos01       : 嗎 01/30 20:39

推 kougousei   : 隨便找一個日媒(共同通信，不是野雞媒體) 01/30 20:39

推 bj45566     : 韓國之前崛起十幾年被歐美日大肆報導、重視，台灣現 01/30 20:39

→ bj45566     : 在重新贏了韓國當然值得慶祝、驕傲 01/30 20:39

→ kougousei   : 標題：韓國微型企業 12%領不到基本工資 01/30 20:39

→ goodjop     : 他講的也沒錯拉 不然酷龍怎麼會認識大S XD 01/30 20:40

推 speedoflight: WH就是22K出現後才開始風行起來的 當年就一堆人去澳 01/30 20:40

→ speedoflight: 洲打工了 01/30 20:40

→ kougousei   : 這還不算約聘什麼的 韓國約聘比台灣多很多 01/30 20:40

推 koushimei   : 其實之後幾年你會看到日本韓國被搶走的 GDP跑到中 01/30 20:43

→ koushimei   : 國大陸 尤其消費性電子跟汽車這塊 結果反而不做品牌 01/30 20:43

→ koushimei   : 的台灣躲開了 01/30 20:43

推 tbrs        : 六七十年前不是超過了 01/30 20:44

→ borriss     :  台灣做品牌的還沒能力做到動搖國本啦......就死了 01/30 20:44

推 frozenmoon  : 在台灣領相對低薪的人，在韓國真的能領相對高薪嗎？ 01/30 20:44

→ tbrs        : 韓國好像陷入衰退裡西險 01/30 20:44

推 Krisjenner  : 這幾年錢真的好賺 01/30 20:45

→ speedoflight: 至於證所稅嘛 就是當時政府為了要把台商鮭魚返鄉的 01/30 20:46

→ dos01       : 阿不就HTC 自己想去當中國人的品牌 呸 01/30 20:46

→ speedoflight: 資金全都趕去房市炒房 才會故意用劉憶如當財政部長 01/30 20:46

推 Izangel     : 雞排發明的時候就35元了，20元就是鬼扯 01/30 20:46

推 koushimei   : 台廠做品牌四處受挫 所以都改為走b2b路線 如今看來 01/30 20:48

→ koushimei   : 似乎更穩定更能分散風險 01/30 20:48

→ da2286      : 這幾年當公務員真慘 01/30 20:48

推 Uncontinue  : 別這樣，2008-2012那段時間全台灣都在瘋公職 01/30 20:49

推 speedoflight: 雞排剛發明時是20元沒錯 但是那是約莫1992-95的物價 01/30 20:49

→ BrianYueh   : 靠房價而已 01/30 20:49

→ Uncontinue  : 為什麼瘋應該大家都知道 01/30 20:49

推 dos01       : 公務員沒啥慘的阿 是當年惡搞台灣經濟 相對的讓公務 01/30 20:50

→ dos01       : 員看起來沒這麼慘而已 但不就是個公務員 比其他人 01/30 20:50

→ dos01       : 過的還要爽很奇怪吧? 01/30 20:50

推 iPodmilk    : 搞認證信箱後 衝破柵欄仔 消失大半XDD 01/30 20:51

推 cerwvk      : 應該說, 去外國之後, 相對於台灣的薪資, 增加多少? 01/30 20:54

→ sonytipo    : 台灣還是很多人領2萬月薪欸 級距這麼大 笑死 樓上 01/30 20:54

→ sonytipo    : 的都當作台灣每個人年薪百萬喔 01/30 20:54

→ cerwvk      : 沒比台灣高很多的話, 一般都不會到外國工作. 01/30 20:54

推 aitt        : 不是連日本也超過了? 01/30 20:54

→ cerwvk      : 真的決定出去的, 都有考慮過薪水物價租屋的. 01/30 20:55

→ kougousei   : 日本是預估 後來正式應該沒超過 01/30 20:55

→ kougousei   : 因為日幣匯率回穩 01/30 20:55

→ kougousei   : 還在吵出國工作喔 你先搞清楚南韓出國工作有多少 01/30 20:55

→ kougousei   : 再來吧 01/30 20:56

推 frozenmoon  : 2022外資投資金額創15年新高 西進續冷 01/30 20:57

→ frozenmoon  : https://tinyurl.com/mr39e66k 01/30 20:57

推 madeinheaven: 3萬2,788美元這數據不是2021年預估的嗎 01/30 20:58

推 kougousei   : 不是 32788是主計處最新數據 01/30 20:59

→ kougousei   : 在主計處首頁就有啊 01/30 20:59

→ madeinheaven: 樓上 2021年預估就這數字了 01/30 20:59

→ kougousei   : 中華民國統計資訊網 > 最新消息 > 111第四季經濟成 01/30 21:00

→ kougousei   : 長 pdf點進去看 01/30 21:00

→ kougousei   : 20230118新出的 01/30 21:00

推 whoisfeng   : 什麼東西啦….完全沒這種感覺 01/30 21:01

→ kougousei   : 當然Q4是初步統計 下一季會略作修正但不可能差太多 01/30 21:01

推 koushimei   : 去年豐田自動車也算蠻屌的 反觀三星獲利就掉蠻多的 01/30 21:04

→ koushimei   :  只是日本要注意電動車的再發展下去 會不會去吃到他 01/30 21:04

→ koushimei   : 們龐大內燃機汽車產業鍊 01/30 21:04

→ billy4305   : 韓房地產問題也不容多讓好嗎 天真以為韓房地產就沒 01/30 21:05

→ billy4305   : 有類似台的問題？ 接受數據事實很難嗎？ 01/30 21:05

→ Behave      : 所以早就該認證淨化一下了，看一般人少那麼多真好 01/30 21:06

推 bj45566     : 台灣人均 GDP 要贏日本必須至少再多一座產業成功升 01/30 21:07

→ bj45566     : 級的護國神山，目前還看不出什麼跡象 01/30 21:07

推 chichen     : 台灣有月薪正職2萬的貼出來說一下我幫妳勞動部檢舉 01/30 21:08

→ chichen     : ，不然是在造謠嗎 01/30 21:08

推 baron1860t  : 韓國去年電價每度電調漲19.3韓元沒完全反應能源漲幅 01/30 21:09

推 bj45566     : 台灣的機械、材料、化學、生技、國防航太,... 底子 01/30 21:09

→ bj45566     : 都太差了 01/30 21:09

→ baron1860t  : 結果韓電去年大約虧損30兆韓元 01/30 21:09

→ baron1860t  : 今年韓國打算再分四次每季都再上調電價 01/30 21:10

推 kougousei   : 日本也是啊 一堆電力附加費要調20% 30%的 01/30 21:11

→ baron1860t  : 韓國電價第一季已經再漲了13.1韓元 01/30 21:11

推 bj45566     : 而且台灣的基礎科學(含數學)底子也和日本相差很遠 01/30 21:11

推 tsujishiori : GDP增長多半來自外匯，服務業受惠很少。甚至這幾年 01/30 21:12

→ tsujishiori : 的半導體大廠都將大部份的盈餘用在擴廠和投資設備 01/30 21:12

→ tsujishiori : ，而不是將資金發給員工和股東，自然跟民間感受有 01/30 21:12

→ tsujishiori : 落差 01/30 21:12

→ baron1860t  : 台灣的電價3月左右也差不多要調漲了 01/30 21:12

→ bj45566     : 除非日本的汽車產業突然崩垮了 01/30 21:12

噓 LoveAsuka   : 有種打房看看 看GDP會不會崩 01/30 21:12

→ nanachi     : 日本現在問題是岸田要通膨又要增稅又要加薪吧== 01/30 21:13

推 alau        : 柵欄仔 : I DONT CARE!! 01/30 21:13

推 bj45566     : @nanachi：國家級的財務金融政策這些我不懂，不過 01/30 21:16

→ bj45566     : 有一些金融界的朋友有說岸田想要賭日本國本 01/30 21:16

推 bj45566     : 台灣繼續走穩健成長的路就好 01/30 21:17

→ borriss     :  岸田信了某種劇本後才會這樣搞了(X 01/30 21:17

推 carefree427 : 民進黨7414 01/30 21:18

推 weiting09   : 什麼年代還在因為GDP超車自嗨 01/30 21:18

→ WWIII       : 詐騙業與有榮焉 01/30 21:20

推 sora10032   : 但台灣建設遠輸日韓 01/30 21:21

噓 sakula0616  : weiting09 難道要哭嗎? 01/30 21:21

推 bj45566     : 文在寅左派政府拼命打房鄉民提出過的手法幾乎都用上 01/30 21:25

→ bj45566     : 了，結果韓國房價在文任期內反而大噴發嘻嘻 01/30 21:25

噓 SkyShih     : 都是科技業拉高的，文組廢物妓者只會蹭跟自慰 01/30 21:27

推 fenix220    : 滯台支那人要開始顧左右而言他說GDP不準了 01/30 21:28

推 icedog122   : 意思是賺不到年薪百萬的  可以去面壁思過了??? 01/30 21:28

推 kougousei   : GDP不是年薪 01/30 21:28

推 cerwvk      : 一個國家, 不是只有科技業組成的. 為啥一堆人不懂? 01/30 21:30

噓 psykl       : 發國際新聞看台灣多厲害,起薪26400台幣 01/30 21:31

→ cerwvk      : 修正一下, 一堆人眼中只看到半導體業. 01/30 21:31

推 silentence  : 看過雞排20的應該已經要退休了吧 嘖嘖 01/30 21:31

→ hicoy       : 先前輸的時候在反觀 超過了又要說數字沒代表性XD 01/30 21:33

推 sakula0616  : 算上物價還有稅率  台灣可支配所得其實是更高 01/30 21:34

推 kougousei   : 你要一個兩千萬人的國家什麼都強就不可能啊 01/30 21:35

→ kougousei   : 而且台灣科技業比起南韓還多養了一堆design house 01/30 21:35

→ kougousei   : 封裝測試 01/30 21:35

→ BLUESKY101  : 股價位階還落後韓國 應該要補漲 01/30 21:36

→ kougousei   : 南韓人口都是台灣的兩倍耶 多幾個產業很奇怪嗎=  = 01/30 21:36

噓 ganninian   : 拿這個數據自嗨 未來的水電足夠支撐產業發展？勞保 01/30 21:36

→ ganninian   : 年金破產怎麼解決？健保個資被賣掉怎麼亡羊補牢？ 01/30 21:36

→ ganninian   : 這些問題都是不久後的未來一定遇到的 01/30 21:36

推 kyo38390    : 收入26400還要加上勞健保 受僱員工如果這樣還低於3W 01/30 21:39

→ kyo38390    : 應該有些問題 01/30 21:39

推 bj45566     : 台灣科技業比韓國還更多了一堆美國三大 EDA 公司直 01/30 21:39

→ bj45566     : 接包養的碼農 01/30 21:39

噓 zzzz0516    : 都叫人均了還在那邊扣什麼業什麼業，腦？ 01/30 21:40

推 fenix220    : 果然開始顧左右而言他扯堆有的沒的了XD 01/30 21:41

推 bj45566     : 台灣擁有除了美國本土以外最多的 EDA 高薪軟體工程 01/30 21:41

→ bj45566     : 師，硬體賺軟體也賺 01/30 21:41

→ huntergirl14: 各位有感覺嗎？ 01/30 21:42

推 AlenCKH     : 韓國房價所得比 比我們還高，4%民眾黨網軍 01/30 21:47

推 bj45566     : 我在科技業，非常有感；前幾年買竹北台中房的比我 01/30 21:48

→ bj45566     : 更有感 01/30 21:48

→ fenix220    : 沒感覺的的循例寧該多吃點了 01/30 21:49

推 bj45566     : 股票也是賺了不小一筆，只是績效不能和板上高手比 01/30 21:50

噓 momijichan  : 自慰 01/30 21:51

推 bj45566     : 獨樂樂不如眾樂樂，這幾年親友子女考上滿意的大學 01/30 21:52

→ bj45566     : 我都是一人送一台 iPad 的不手軟 01/30 21:52

→ bj45566     : 但其實他/她們很多也是賺不少 01/30 21:53

推 akira0956   : 雞排這東西一開始就至少50了吧 01/30 21:55

推 tsujishiori : 會說無感的可能是要實行共產主義，政府統一分配糧 01/30 22:00

→ tsujishiori : 食房子才會有感吧 01/30 22:00

推 npsi        : 台灣這兩年半導體大爆發，對比韓國則是被中國往下 01/30 22:01

→ npsi        : 拉，贏了也不意外，不過台灣半導體產業開始外移了 01/30 22:01

噓 mildshine   : 哈哈哈哈哈哈哈哈明天繼續上班 01/30 22:03

推 sakula0616  : 股市15000+   無感的可能做空賠不少 01/30 22:07

→ parissky01  : 外移還會被asml加碼投資喔？再硬洗嘛 01/30 22:14

推 denow0208   : 某版撿角仔應該集體崩潰了 01/30 22:15

→ YinPinTW    : 認真覺得台灣贏在去年台幣較韓幣強勢抗跌 但現在明 01/30 22:17

→ YinPinTW    : 顯韓幣已經回到41左右 韓女友這一個月在台灣買東西 01/30 22:17

→ YinPinTW    : 都刷卡居多 匯率好買香水還加大 01/30 22:17

→ YinPinTW    : 人均GDP贏真的無感 還是覺得薪資超車才重要 01/30 22:19

推 daniel0203  : 夜市年收上千萬都有可能 01/30 22:23

推 good5755    : 南韓最大問題是他們的記憶體和面板有40~50%的工廠在 01/30 22:23

噓 sevenAtin   : 大部分的人都無感 01/30 22:23

→ good5755    : 國外 現代汽車工廠也有歐洲和北美無法帶動本國GDP 01/30 22:24

推 q1478584    : 半導體產業外移？ 是外擴吧 一樣繳稅給台灣 去年第 01/30 22:27

→ q1478584    : 四季一堆外媒看衰台積電 需求下降啦價格下降毛利維 01/30 22:27

→ q1478584    : 持不住啦 三星高階製程彎道超車啦 結果是沒錯整體半 01/30 22:27

→ q1478584    : 導體需求略降但降得是其他公司啊 台積電市佔擴大領 01/30 22:27

→ q1478584    : 先 毛利突破天際 現在去各國設廠到底哪裡是壞事 當 01/30 22:27

→ q1478584    : 你國家有台積電你會不會想直接請他做就好 只會吃下 01/30 22:27

→ q1478584    : 該國市場啦 只要保持技術領先就對了 01/30 22:27

→ facio124    : 我真可悲 拉低平均 01/30 22:34

噓 kuo3027     : 又在哪平均取暖 01/30 22:36

推 tsujishiori : 台積跟當年的東芝不同。當年美國是直接對日本拉高 01/30 22:36

→ tsujishiori : 關稅，現在美國總不可能對台積在美國本土的工廠實 01/30 22:36

→ tsujishiori : 施高關稅吧？ 再者如果台積在美國設廠直接打趴inte 01/30 22:36

→ tsujishiori : l，再尋台商在中國模式：台灣接單美國生產。就能將 01/30 22:36

→ tsujishiori : 接單獲利繳稅給台灣和分享給台灣股民。 01/30 22:36

推 sc2x2       : 跟南韓比是要比爛的嗎？要比也跟新加坡比 01/30 22:37

→ kougousei   : 跟新加坡這種城市國家比要幹嘛... 01/30 22:40

→ kougousei   : 產業結構差太多很難比 01/30 22:40

→ tttxxx      : 人均分配不均 數字超過也沒用 01/30 22:43

推 tsujishiori : 新加坡靠周圍東南亞印度提供廉價勞工和糧食，新加 01/30 22:44

→ tsujishiori : 坡本土任何農田種糧食。再說隔壁中國也比馬來西亞 01/30 22:44

→ tsujishiori : 強多了 01/30 22:44

→ kougousei   : 吉尼係數台灣比韓國低 你要說分配比韓國不均？ 01/30 22:45

推 aska2000    : 一堆人又要崩了 01/30 22:45

→ parissky01  : https://i.imgur.com/XMSAAVB.jpg 01/30 22:48

推 hbooreo     : 台灣這幾年多了很多有錢人，接到大撒幣的時機置產 01/30 22:52

→ hbooreo     : 的、本業獲利的，人均gdp被拉高很多，韓國就業問題 01/30 22:52

→ hbooreo     : 好幾年了，疫情前就不好找工作，疫情後雪上加霜 01/30 22:52

推 good5755    : 新加坡不就吃到香港的紅利 一堆富商移民拉高GDP 01/30 22:58

→ benptt      : 好喔！明天來去日本當大爺~ 01/30 23:01

推 Riesz       : 一樓  人均工作所得與政府投資為主吧~~ 01/30 23:06

推 numbtch236  : 韓國一堆跨國企業沒法貢獻本國GDP也是問題 01/30 23:07

→ numbtch236  : 不過人均贏韓國再說吧 01/30 23:07

噓 aitela      : 「首度」？臺灣以前GDP一直高於南韓好嗎？智障標題 01/30 23:09

推 losage      : 換算新台幣90萬耶。 01/30 23:10

推 wilson5938  : 無感 01/30 23:11

推 npsi        : 原本應該在台灣擴廠的成長外移了，也因此工作機會 01/30 23:11

→ npsi        : 和供應商跟著外移，不過作為股東可能影響不大吧 01/30 23:11

推 tsujishiori : 說要跟新加坡比較的也很好笑，一邊嗆民進黨是綠共 01/30 23:11

→ tsujishiori : ，又一邊羨慕獨裁政權的新加坡。更不用說新加坡產 01/30 23:12

→ tsujishiori : 業結構比台灣更單一，兵役時間也更長。 01/30 23:12

推 deathbead   : ...平均一顆睪丸 01/30 23:12

推 pivotalHarry: 反觀 01/30 23:14

→ escape54321 : 把房地產扣掉看看會輸多少 01/30 23:14

→ t0kyohot    : 結果民進党敗選  看來人民不要經濟變好 01/30 23:22

推 floatbear227: 有用嗎？台積、海運賺走拿去買設備買樓了 01/30 23:28

推 peterlee97  : 首度（X）再度（O） 01/30 23:35

推 DSB520      : 還好是在科技業 01/30 23:36

推 sa13961387  : 抱歉我拖累大家 01/30 23:37

推 jailkobe5566: 經濟200年來最好，史稱大英盛世 01/30 23:43

推 bj45566     : 反串沒用啦，台灣這幾年經濟真的是 20 年以來表現 01/30 23:57

→ bj45566     : 最好：股市、房市、出口、就業率、基本薪資,... 01/30 23:57

→ bj45566     : 隨便哪一項指標都狠踩馬扁時代 01/30 23:58

推 nido        : 在股版喊貧富不均也太怪了吧，買股票不就是在當資方 01/31 00:05

推 sc2x2       : 藉口一大堆，新加坡不能比，那比美加澳行嗎？ 01/31 00:13

